Change,Current Ratio,Debt / Equity Ratio,PE Ratio,PB Ratio,RSI,Bollinger Middle,Bollinger Upper,Bollinger Lower,OBV,EMA20,Inflation,GDP
1,2.21,0.33,16.85,4.22,68.93654588,85.02099991,118.2880954,51.75390441,1150143600,90.96104986,1.464832656,1.841876169
1,1.79,0.32,17.95,4.59,75.22931097,89.15649986,127.8514302,50.46156954,1323709700,95.65523559,1.464832656,1.841876169
1,1.7,0.34,20.27,5.4,71.78028597,93.45349998,132.7588238,54.14817616,1140791300,99.4652135,1.622222977,2.287772842
1,1.71,0.38,18.98,5.15,73.90775099,97.61050034,139.4319528,55.78904787,1277350900,103.6342413,1.622222977,2.287772842
1,1.87,0.4,19.5,5.4,72.69311365,101.0044998,145.4791334,56.52986624,1141227300,107.2576462,1.622222977,2.287772842
1,1.65,0.45,18.81,5.68,78.27365709,105.0870003,156.5249794,53.64902112,1320710000,112.6921568,1.622222977,2.287772842
1,2.06,0.52,21.25,8.03,78.40590254,109.1560001,165.7577499,52.55425042,1460944900,117.6690939,0.118627136,2.706370303
1,2.46,0.47,21.16,7.52,70.58418442,112.9215004,170.995942,54.84705883,1316369600,121.157752,0.118627136,2.706370303
0,2.64,0.65,19.65,7.48,62.66363449,115.6745007,173.7379435,57.61105779,1137122900,123.1208236,0.118627136,2.706370303
0,1.65,0.92,17.81,7.27,65.60594406,118.8915005,177.2174128,60.56558819,1295012500,125.7416975,0.118627136,2.706370303
1,1.54,0.94,19.19,8.12,70.16971321,122.5480007,183.1720831,61.9239183,1460171800,129.635822,1.261583206,1.667476026
1,1.52,0.95,20.54,8.59,72.27339583,126.5615005,189.8874328,63.23556827,1582391200,133.967648,1.261583206,1.667476026
1,1.58,0.99,21.68,8.93,72.54599791,131.7835003,193.383054,70.18394654,1689998400,137.9926335,1.261583206,1.667476026
1,1.9,1.03,21.59,8.88,73.14541673,136.6255005,196.9367772,76.3142238,1814701900,141.8571453,1.261583206,1.667476026
1,1.89,1.13,21.27,10.43,76.19730109,141.7315006,202.4112805,81.05172076,1936358400,146.5688459,2.130110004,2.241916613
1,1.99,1.07,22.38,10.38,79.51066609,147.6610008,209.9603394,85.36166227,2051889000,152.4375275,2.130110004,2.241916613
1,2.22,0.97,23.07,10.73,79.81752486,153.5350006,216.0459346,91.02406663,2158030400,157.9101433,2.130110004,2.241916613
1,2.07,0.96,22.82,10.31,83.72685177,160.6610004,226.2914563,95.03054455,2277752100,165.2872721,2.130110004,2.241916613
1,1.86,1.21,28.86,12.12,74.10693827,166.3215008,231.752853,100.8901486,2114588000,170.4522942,2.442583297,2.945385182
0,1.65,1.43,31.6,11.91,62.90961961,170.6900009,231.8503641,109.5296377,1929380800,172.9539806,2.442583297,2.945385182
0,1.56,1.4,26.48,11.27,66.27669585,175.2550011,234.0055387,116.5044635,2065084200,176.5497926,2.442583297,2.945385182
0,1.97,1.45,27.32,12.06,58.0890521,177.7695007,234.5849125,120.954089,1895382500,177.8821927,2.442583297,2.945385182
1,1.89,1.49,20.74,11.33,62.36830333,181.3755005,236.1611019,126.5898991,2032771000,180.7296028,1.812210075,2.294439305
0,2.02,1.77,21.22,12.33,51.13581577,182.8805,234.9809098,130.7800902,1826805300,180.0258307,1.812210075,2.294439305
0,1.93,1.65,20.36,9.91,48.68470087,184.0165001,233.3936221,134.6393781,1649699300,178.5376558,1.812210075,2.294439305
0,2.3,1.89,19.11,8.84,52.01508895,184.6214996,233.3101747,135.9328246,1822042000,178.3359741,1.812210075,2.294439305
0,1.41,2.1,22.46,10.08,42.21780936,183.1994995,235.621332,130.777667,1526236000,174.3525475,1.233584396,-2.767953145
0,1.65,2.3,15.93,7.74,47.42329917,183.2839996,235.5243585,131.0436407,1761950400,172.603734,1.233584396,-2.767953145
0,1.94,1.99,17.55,8.26,48.49802978,184.2044991,234.0817733,134.3272248,1925971600,171.4205205,1.233584396,-2.767953145
1,1.9,1.72,18.6,7.77,52.16944838,185.4119987,233.101848,137.7221495,2074727500,171.7414227,1.233584396,-2.767953145
1,1.89,1.53,18.5,7.84,56.27943666,186.7144981,233.6990466,139.7299497,2251061100,173.7355722,4.697858864,5.946623245
1,1.84,1.39,19.36,8.11,57.58485108,187.8899986,234.8317705,140.9482268,2386898400,176.1064705,4.697858864,5.946623245
1,1.73,1.32,19.25,7.97,51.16693346,187.8494987,234.8328195,140.866178,2233687500,176.0410922,4.697858864,5.946623245
0,1.71,1.31,16.95,7.02,51.7187157,187.8024986,234.8247212,140.7802761,2378161600,176.1924172,4.697858864,5.946623245
0,1.71,1.21,17.29,6.8,44.6505114,185.6799988,235.6156858,135.7443117,2156779700,173.5912351,8.002799821,2.06180457
0,1.58,1.18,15.19,5.7,40.60347272,181.7409988,236.1784159,127.3035818,1977453700,169.3834988,8.002799821,2.06180457
0,1.47,1.25,17.75,5.36,37.08747562,176.7709991,237.7718104,115.7701879,1363465900,163.7755465,8.002799821,2.06180457
0,1.56,1.17,9.57,4.47,39.88031472,170.9984993,230.5589791,111.4380195,1548018500,159.5988276,8.002799821,2.06180457
0,1.54,1.14,11.47,4.5,39.88031472,170.9984993,230.5589791,111.4380195,1548018500,159.5988276,8.002799821,2.06180457
0,1.42,1.1,10.61,3.78,39.88031472,170.9984993,230.5589791,111.4380195,1548018500,159.5988276,8.002799821,2.06180457
1,0.69,0.87,26.09,2.22,54.29126681,22.90709953,28.90863404,16.90556503,12608086999,24.30599852,1.464832656,1.841876169
0,0.51,0.89,24.02,2.1,56.46596256,23.15861006,29.32679119,16.99042893,14591813164,24.520274,1.464832656,1.841876169
0,0.66,0.82,10.06,2.04,56.27231261,23.53134413,29.55661125,17.506077,12096207418,24.70766839,1.622222977,2.287772842
1,0.61,0.88,9.94,2.01,56.78658155,23.92862511,29.68525617,18.17199405,14146612604,24.89807609,1.622222977,2.287772842
1,0.76,0.91,10.14,1.99,56.4905217,24.23942566,29.8703524,18.60849892,12502613456,25.06171779,1.622222977,2.287772842
0,0.65,0.82,10.5,1.97,52.44200191,24.44939547,29.91778142,18.98100952,10454673957,25.09108661,1.622222977,2.287772842
0,0.9,0.91,27.05,1.94,50.23328457,24.70657072,29.68463345,19.72850799,8316989369,25.05004236,0.118627136,2.706370303
1,0.73,1.12,28.52,1.96,56.28686341,25.1344408,29.21657996,21.05230165,10946321765,25.21935214,0.118627136,2.706370303
0,1.07,1.31,33.68,2.12,49.62731961,25.28474293,29.04404285,21.525443,8235911845,25.16105671,0.118627136,2.706370303
1,0.73,1.04,37.53,1.65,53.32879416,25.47469759,28.96357207,21.98582311,10195555377,25.23994899,0.118627136,2.706370303
1,0.75,1.03,15.86,1.73,61.2955454,25.79796047,29.54268354,22.0532374,12529959749,25.6537246,1.261583206,1.667476026
1,0.85,1.06,17.35,1.95,66.51933043,26.24357986,30.90401395,21.58314578,14330541363,26.31869864,1.261583206,1.667476026
1,0.78,1.03,18.72,2.16,60.82930639,26.70015087,31.21513763,22.18516411,12644558969,26.73331829,1.261583206,1.667476026
1,0.79,1.01,17.18,2.02,63.32423389,27.16427479,31.89958711,22.42896247,14697624210,27.24656001,1.261583206,1.667476026
0,0.76,1,20.13,2.12,61.1821778,27.55400295,32.33053566,22.77747025,13091310866,27.64042815,2.130110004,2.241916613
0,0.9,1.08,20.18,2.06,53.57466717,27.63217516,32.41669871,22.84765161,11350300117,27.7220044,2.130110004,2.241916613
0,1.12,1.15,17.64,1.86,55.80551421,27.68768883,32.53535673,22.84002093,13387289212,27.89939377,2.130110004,2.241916613
0,1.6,1.31,18.72,1.93,55.22992714,27.88293047,32.6702662,23.09559474,10355969230,28.03902852,2.130110004,2.241916613
0,0.97,1.17,8.11,1.69,49.14942224,27.84365559,32.64882826,23.03848291,8028368096,27.93302404,2.442583297,2.945385182
0,1.11,1.12,7.15,1.5,43.49728537,27.7194109,32.75554898,22.68327281,4686281353,27.58247565,2.442583297,2.945385182
0,0.81,1.04,6.19,1.08,46.26093515,27.71034746,32.76274071,22.65795422,7602968354,27.37105296,2.442583297,2.945385182
0,0.81,1,7.27,1.33,39.18434112,27.46034746,33.16872642,21.7519685,4093449633,26.81722801,2.442583297,2.945385182
0,0.8,0.96,10.72,1.13,44.31692862,27.32024174,33.2504515,21.39003198,6672363578,26.51899683,1.812210075,2.294439305
0,0.72,1.05,12.15,1.23,47.9253815,27.25037766,33.2404628,21.26029251,9043546159,26.40382261,1.812210075,2.294439305
1,0.71,1.04,14.07,1.33,54.34255031,27.34856491,33.35820385,21.33892597,11781779938,26.61108323,1.812210075,2.294439305
1,0.74,1.02,16.89,1.51,56.01421521,27.55589123,33.56430541,21.54747704,14117715385,26.88780071,1.812210075,2.294439305
0,0.8,1,20.54,1.55,42.57194916,27.42371597,33.78695226,21.06047969,10329440113,26.42387844,1.233584396,-2.767953145
0,0.76,1.05,14.54,1.18,44.14201807,27.22394257,33.89299683,20.5548883,13576812000,26.08182591,1.233584396,-2.767953145
0,0.81,1.09,18.1,1.23,42.16489003,27.07024174,34.1050983,20.03538518,10792839848,25.64862665,1.233584396,-2.767953145
0,0.84,1.03,18.53,1.16,42.56754409,26.85687313,34.25917635,19.45456991,14297082564,25.2746673,1.233584396,-2.767953145
1,0.82,1.11,-38.17,1.27,45.05576398,26.52077036,34.00709691,19.0344438,17917779424,25.04494064,4.697858864,5.946623245
1,0.82,1.22,-88.22,1.3,43.07274117,25.97583075,33.18379477,18.76786672,14161084595,24.72991389,4.697858864,5.946623245
0,0.77,1.24,-95.05,1.27,40.77679482,25.46223564,32.72210766,18.20236363,11451274843,24.31756998,4.697858864,5.946623245
0,0.7,1.23,204.29,1.18,37.82070141,24.78512077,31.95960561,17.61063594,6998470864,23.77114037,4.697858864,5.946623245
0,1.61,1.18,8.84,1.06,36.6684785,24.10838356,31.21917965,16.99758747,2659809061,23.20697759,8.002799821,2.06180457
1,0.93,1.36,9.85,1,44.41621947,23.73153458,30.66881587,16.79425328,5850802878,22.99297964,8.002799821,2.06180457
0,0.7,1.32,7.61,1.27,35.88088731,23.01930494,30.3219551,15.71665478,3378560978,22.26412445,8.002799821,2.06180457
1,0.62,1.25,5.51,0.89,42.39325557,22.471527,29.42297349,15.52008052,6194037378,21.89706496,8.002799821,2.06180457
1,0.59,1.59,-15.03,1.35,42.39325557,22.471527,29.42297349,15.52008052,6194037378,21.89706496,8.002799821,2.06180457
1,0.51,1.57,-14.74,1.38,42.39325557,22.471527,29.42297349,15.52008052,6194037378,21.89706496,8.002799821,2.06180457
1,2.3,4.15,12.69,18.4,81.40092632,60.90200043,87.67878308,34.12521777,4171170300,63.85199165,2.130110004,2.241916613
1,2.41,4.14,15.62,19.83,81.40092632,60.90200043,87.67878308,34.12521777,4171170300,63.85199165,2.130110004,2.241916613
1,2.6,3.28,20.35,18.7,81.40092632,60.90200043,87.67878308,34.12521777,4171170300,63.85199165,2.130110004,2.241916613
1,2.79,3.07,19.72,17.38,81.40092632,60.90200043,87.67878308,34.12521777,4171170300,63.85199165,2.130110004,2.241916613
1,2.82,2.83,21.52,17.2,81.40092632,60.90200043,87.67878308,34.12521777,4171170300,63.85199165,2.130110004,2.241916613
1,2.65,3.18,24.77,19.79,81.40092632,60.90200043,87.67878308,34.12521777,4171170300,63.85199165,2.130110004,2.241916613
1,1.41,8.6,58.77,59.85,81.40092632,60.90200043,87.67878308,34.12521777,4171170300,63.85199165,2.130110004,2.241916613
1,1.39,11.09,51.38,67.76,81.40092632,60.90200043,87.67878308,34.12521777,4171170300,63.85199165,2.130110004,2.241916613
1,1.5,5.65,51.36,19.45,81.40092632,60.90200043,87.67878308,34.12521777,4171170300,63.85199165,2.130110004,2.241916613
1,2.03,6.61,31.97,18.52,81.40092632,60.90200043,87.67878308,34.12521777,4171170300,63.85199165,2.130110004,2.241916613
1,1.5,8.03,18.83,24.55,81.40092632,60.90200043,87.67878308,34.12521777,4171170300,63.85199165,2.130110004,2.241916613
